SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD
0.32,0.077,0.97,468,74,195,187,142,206,37,1.10E-05,6.00E-06,14
0.3,0.061,0.91,379,85,188,174,118,287,195,1.79E-05,7.00E-06,21
0.4,0.055,0.87,771,29,122,71,126,206,38,1.04E-05,5.00E-06,18
0.33,0.094,0.88,565,96,166,54,147,341,174,1.78E-05,8.00E-06,29
0.31,0.064,0.86,499,84,198,163,151,322,192,1.81E-05,7.00E-06,20
0.38,0.013,0.8,422,9,118,171,139,217,37,2.63E-06,1.00E-06,25
0.35,0.015,0.98,756,89,128,185,104,221,154,9.78E-06,6.00E-06,13
0.2,0.047,0.92,739,75,222,97,142,316,150,2.20E-05,8.00E-06,25
0.24,0.06,0.91,569,78,184,198,110,256,173,1.22E-05,5.00E-06,18
0.35,0.083,0.92,672,18,172,95,112,277,188,1.45E-05,5.00E-06,23
